company_id,company_name,sector,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_cagr_5yr,fcf_conversion_pct,distress_flag,deleveraging_flag,capital_allocation_label
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,1.0,Moderate,17.14,Capital Intensive,47.9,20.56,False,True,
GAIL,GAIL (India) Ltd,Energy,0.99,Moderate,6.17,Moderate,212.02,30.46,False,True,
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,0.13,Accrual Risk,24.37,Capital Intensive,,-46.16,False,False,
GRASIM,Grasim Industries Ltd,Industrials,0.61,Moderate,17.65,Capital Intensive,,-124.41,True,False,
HAL,Hindustan Aeronautics Ltd,Industrials,1.96,High Quality,21.11,Capital Intensive,72.9,18.61,False,False,
HAVELLS,Havells India Ltd,Industrials,1.05,High Quality,8.7,Capital Intensive,4.68,17.81,False,False,
HCLTECH,HCL Technologies Ltd,Information Technology,1.37,High Quality,6.01,Moderate,98.17,65.46,False,False,
HDFCBANK,HDFC Bank Ltd,Financials,0.23,Accrual Risk,5.85,Moderate,,20.48,False,False,
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,5.83,High Quality,13.42,Capital Intensive,,-2.87,False,False,
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,1.21,High Quality,4.84,Moderate,3.48,9.51,False,True,
HINDALCO,Hindalco Industries Ltd,Materials,2.77,High Quality,6.61,Moderate,15.41,5.1,False,False,
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,1.16,High Quality,8.6,Capital Intensive,1.89,21.48,False,False,
ICICIBANK,ICICI Bank Ltd,Financials,3.87,High Quality,90.74,Capital Intensive,-23.93,12.6,False,False,
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,1.46,High Quality,9.38,Capital Intensive,75.7,2.71,False,True,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,1.93,High Quality,8.22,Capital Intensive,,0.11,False,True,
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,-14.34,Accrual Risk,17.07,Capital Intensive,41.21,17.93,False,False,
INDUSINDBK,IndusInd Bank Ltd,Financials,2.61,High Quality,1.37,Asset Light,,-99.04,False,False,
INFY,Infosys Ltd,Information Technology,1.04,High Quality,3.31,Moderate,4.81,55.23,False,False,
IOC,"Indian Oil Corporation
",Energy,0.73,Moderate,4.05,Moderate,,52.4,False,False,
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,0.9,Moderate,5.04,Moderate,12.46,45.5,False,True,
IRFC,Indian Railway Finance Corporation Ltd,Financials,-10.8,Accrual Risk,0.03,Asset Light,,29.82,False,True,
ITC,"ITC Ltd
",Consumer Staples,0.94,Moderate,2.21,Asset Light,21.8,71.44,False,False,
JINDALSTEL,Jindal Steel & Power Ltd,Materials,-2.8,Accrual Risk,16.57,Capital Intensive,,-22.9,False,False,
JIOFIN,Jio Financial Services Ltd,Financials,32.93,High Quality,77.68,Capital Intensive,,48.94,False,False,
JSWENERGY,JSW Energy Ltd,Energy,2.63,High Quality,71.37,Capital Intensive,,-36.47,False,False,
JSWSTEEL,JSW Steel Ltd,Materials,2.78,High Quality,8.27,Capital Intensive,,-8.48,False,False,
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,1.48,High Quality,15.86,Capital Intensive,-32.99,14.38,False,False,
LICI,Life Insurance Corporation of India,Financials,9.68,High Quality,2.99,Asset Light,-50.27,2.6,False,False,
LODHA,Macrotech Developers Ltd,Real Estate,13.31,High Quality,28.57,Capital Intensive,,-16.32,False,False,
LT,Larsen & Toubro Ltd,Industrials,1.45,High Quality,0.99,Asset Light,,68.46,False,False,
LTIM,LTIMindtree Ltd,Information Technology,1.02,High Quality,11.03,Capital Intensive,15.02,27.43,False,False,
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,3.32,High Quality,4.04,Moderate,,-45.18,True,False,
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,1.13,High Quality,8.36,Capital Intensive,13.84,26.5,False,False,
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,3.1,High Quality,6.73,Moderate,-31.21,9.92,False,False,
NAUKRI,Info Edge (India) Ltd,Communication Services,-1.46,Accrual Risk,33.6,Capital Intensive,,-21.1,False,False,
NESTLEIND,Nestle India Ltd,Consumer Staples,1.11,High Quality,5.07,Moderate,8.33,50.54,False,False,
NHPC,"NHPC Ltd
",Energy,1.27,High Quality,61.96,Capital Intensive,256.58,20.18,False,False,
NTPC,NTPC Ltd,Energy,2.26,High Quality,18.01,Capital Intensive,,16.8,False,False,
ONGC,Oil & Natural Gas Corpn Ltd,Energy,2.86,High Quality,9.67,Capital Intensive,24.63,40.9,False,False,
PFC,Power Finance Corporation Ltd,Financials,-3.03,Accrual Risk,3.73,Moderate,,-301.52,True,False,
PIDILITIND,Pidilite Industries Ltd,Materials,1.19,High Quality,14.29,Capital Intensive,-8.84,35.27,False,True,
PNB,Punjab National Bank,Financials,-1.22,Accrual Risk,1.38,Asset Light,,,True,False,
POWERGRID,Power Grid Corporation of India Ltd,Energy,2.36,High Quality,28.61,Capital Intensive,4.85,60.7,False,False,
RECLTD,REC Ltd,Financials,-3.86,Accrual Risk,3.85,Moderate,,-124.37,True,False,
RELIANCE,"Reliance Industries Ltd
",Energy,1.61,High Quality,12.63,Capital Intensive,19.22,27.82,False,True,
SBILIFE,SBI Life Insurance Company Ltd,Financials,15.3,High Quality,23.65,Capital Intensive,,-853.25,False,False,
SHREECEM,Shree Cement Ltd,Materials,1.9,High Quality,6.91,Moderate,,42.7,False,False,
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,-2.61,Accrual Risk,0.71,Asset Light,,-298.0,True,False,
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,1.76,High Quality,1.57,Asset Light,27.3,87.36,False,True,
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,1.67,High Quality,12.57,Capital Intensive,-51.24,1.14,False,False,
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,1.93,High Quality,5.2,Moderate,,75.81,False,True,
TATAPOWER,"Tata Power Company Ltd
",Energy,3.87,High Quality,14.69,Capital Intensive,-15.14,33.25,False,False,
TATASTEEL,"Tata Steel Ltd
",Materials,4.44,High Quality,6.22,Moderate,-0.45,27.18,False,False,
TCS,Tata Consultancy Services Ltd,Information Technology,1.04,High Quality,2.53,Asset Light,5.1,78.43,False,False,
TECHM,Tech Mahindra Ltd,Information Technology,1.54,High Quality,2.53,Asset Light,-1.8,112.25,False,False,
TITAN,"Titan Company Ltd
",Consumer Discretionary,0.92,Moderate,0.37,Asset Light,,28.46,False,False,
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,1.83,High Quality,1.49,Asset Light,17.64,92.22,False,True,
TRENT,Trent Ltd,Consumer Discretionary,1.18,High Quality,4.11,Moderate,,42.67,False,False,
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,-0.75,Accrual Risk,2.56,Asset Light,,-40.98,True,False,
